Nome_Algoritmo,Tempo_Min,Tempo_Max,Tempo_Medio,Tempo_Mediano,Desvio_Padrao
Bubble_Melhorado,0,12.716,1.2619333333333334,0,3.5293591985487893
Bubble_Original,0,12.145,1.4841333333333333,0.003,3.4423092097076484
Heapsort,0,31.31,1.7555416666666666,0.011,6.4052585799832675
Insertion_Sort,0,1.949,0.19666666666666666,0,0.5448422663836712
Mergesort,0,6.9,0.5156666666666667,0.004999999999999999,1.4883044530362517
Quicksort_Aleatorio,0,4.755,0.41570833333333335,0.004,1.0933315849778351
Quicksort_Mediana3,0,4.409,0.34441666666666665,0.004,0.9776028319831368
Quicksort_Ultimo,0,3.297,0.42233333333333334,0.002,1.0930508854098413
